DP projectid....	PG num	LCCN
projectID400668bb4879f	11441	08003731
projectID3f85ed72a2b15	11449	35014133
projectID40233562e3b67	11451	07009550
projectID402335d507fc4	11451	07009550
projectID40300a4eae052	11452	unk83007920
projectID3fc794869927c	11454	02000392
projectID402e96d854c52	11464	70132075
projectID40361c754b70b	11470	98001041
projectID40253c86f0663	11484	09000055
projectID3fb5dbc04143b	11489	84232131
projectID4009d29f9b6ba	11490	66031730
projectID40306d3025726	11493	08023104
projectID40306de87b16f	11493	08023104
projectID3fb2f527796c6	11496	00522081
projectID3f847a4e9b611	11497	96129287
projectID3fecb0ada1f75	11499	64057374
projectID3fdf55fd7e4cd	11502	a  16000697
projectID404624361ed3f	11505	08034727
projectID4007081eb162a	11506	17010115
projectID3f95d616cc34d	11509	13015963
projectID3ff35bfe3e87e	11513	16002411
projectID40289f9734f0f	11514	68023722
projectID400b818c42f80	11520	21019201
projectID400b822334521	11520	21019201
projectID3f96e36574feb	11521	79098862
projectID3fb9f2148a81e	11526	rc 01001714
projectID3fc317c1377f7	11534	03013822
projectID3fc3186bf10b4	11534	03013822
projectID3fc319013ed20	11534	03013822
projectID3fdd44b310715	11545	01024700
projectID3fb3204ea55cf	11547	2003053746
projectID402bfae4462df	11553	unk83028314
projectID404cb5b245837	11554	16002387
projectID404cb43e79f40	11560	war15000019
projectID3fa1ccbd26690	11562	36037587
projectID3fad7e5480bd9	11571	20003076
projectID4027d1c291b64	11572	08023920
projectID40290ec9c3f98	11574	19002908
projectID3fce4bbdd3bf9	11580	03031485
projectID3ff673f4ddba1	11581	21026289
projectID3ff6748cb1418	11581	21026289
projectID40038723e4f5c	11585	45026348
projectID4025322ca4b6c	11589	84253725
projectID3fd4f2a86fa74	11600	04000637
projectID3fd4f33d06aba	11601	04000637
projectID3fcdb1ce6ac4e	11603	15006323
projectID404cb3a7be0a3	11605	15005629
projectID4045428f84e07	11608	09012231
projectID402309b2cb4c4	11614	07004160
projectID3fcaa862d8a11	11618	11016089
projectID400585ef67adc	11623	01000504
projectID3ff3b6dc288f4	11625	21007335
projectID3ff3b784dfaa4	11625	21007335
projectID3ffd0bc1d0a2a	11627	08033883
projectID40329ac5cc452	11632	09002737
projectID3ff198dc2cbf7	11633	03017921
projectID3fe0a9d8749bf	11643	47030180
projectID40539636271ca	11655	12009961
projectID3fca37066127f	11658	11000511
projectID3fb76d9d329ea	11663	90104531
projectID40061deb5dd6c	11666	68020007
projectID3fb4048d05005	11667	07028135
projectID403d7fa548e2a	11668	09022185
projectID403d8041f15f4	11668	09022185
projectID4038600a2c7aa	11671	08015538
projectID4039d2aa7a929	11672	15000395
projectID404015afc3335	11673	09006875
projectID402e66c02b4a7	11674	21021763
projectID404940d417562	11675	15011035
projectID402fd97e401c1	11677	ltf91065202
projectID3fb40c35b8e4e	11681	22017361
projectID40545b039b2ec	11683	07009842
projectID402e6a5f2180c	11686	08006883
projectID404e18837ef95	11688	04033922
projectID402725108d752	11689	15013348
projectID404c72bda6a95	11690	03003871
projectID3fe9186da057b	11691	17005404
projectID3fa3e4f499278	11692	14002927
projectID3ffd0c316536b	11693	08033883
projectID40476553bdb99	11694	01004113
projectID404db71e568a4	11697	19012982
projectID4035a6499b9a0	11698	12016870
projectID3fa059f64d798	11701	11031909
projectID4000b7eb73a9f	11702	18016736
projectID40012878b1eb0	11703	30005249
projectID402539cd5b787	11708	01005577
projectID404b84a201fdf	11711	43040643
projectID3ffd0bfa2d0fc	11713	08033883
projectID3fe09ac61a332	11715	17003890
projectID4008c4ed52f9e	11716	unk83001669
projectID402d0fbf605f0	11717	2002554497
projectID3f9b711c0eca0	11719	08032648
projectID3f9b72e6c5e59	11719	08032648
projectID4001eb6c40031	11722	05027543
projectID4003a924b1b04	11725	02000376
projectID3f9da0a5e4d72	11731	22001107
projectID4005f18940ac1	11737	13022882
projectID404e01496c84b	11749	13006061
projectID3fee38b59dfb8	11753	04032482
projectID404fdd6426ce8	11758	16015029
projectID3ffd0c98da669	11760	08033883
projectID3ff70338f2745	11771	2003556075
projectID4004da7cd8376	11774	16016048
projectID4029648842945	11858	15019355
projectID3fed99ea16c56	11859	11027409
projectID4065b9fb4695e	11867	33017485
projectID40581816ad82b	11870	a  13002272
projectID3fe49afa3cd0b	11873	49034622
projectID40528b8d723f0	11875	20010053
projectID402aea9b11cba	11876	14018337
projectID402aed5b11cc4	11876	14018337
projectID402e66098ced6	11878	16022394
projectID40500f7724e8b	11881	17008585
projectID4050112dd574a	11881	17008585
projectID406a332876538	11883	19012909
projectID400cdbab0bb2f	11895	13003744
projectID3fea82f3ccf50	11896	04010754
projectID3ff75249c8f2b	11897	22005768
projectID4005f2bada5a0	11898	14002329
projectID3fa05bd096b70	11901	00002931
projectID3fa1491d6371c	11901	00002931
projectID3fed2b2af2808	11902	05003060
projectID400a4178ceb05	11906	16007943
projectID4005f4f7ae68b	11911	10022827
projectID405472cf62327	11912	90955099
projectID402e906c684d8	11913	06046147
projectID3fdb9cd00b8d4	11914	96164940
projectID404ded65800be	11917	04003438
projectID3fa17ec82b4c9	11918	00000545
projectID3f9d9f95dd839	11922	rc 01001079
projectID402aa3c95d7ad	11924	58008584
projectID3f817a541517e	11927	02006336
projectID406b6da539919	11930	00006497
projectID4065b45f2b94c	11931	08020347
projectID40213fa9cf153	11933	04032553
projectID4026f7b91f1ce	11934	01005431
projectID3fcd0c0eb8e50	11935	74105838
projectID401228d1b2a76	11938	10006552
projectID402ad6cbb2eee	11945	43037704
projectID40658d2027e17	11949	15007733
projectID400ef6e30962b	11950	20007777
projectID4065b829656b5	11960	16009066
projectID405151792925c	11961	19004445
projectID4051520968f63	11961	19004445
projectID403ebdb0b7159	11962	08007899
projectID4013df0fbdb71	11967	67118605
projectID40554dec6b4be	11969	16017688
projectID3ffd05d1d3138	11981	08033883
projectID4030178d4b0a0	11982	75162284
projectID406a11afc347a	11984	09009478
projectID40711ddb41120	11985	10010220
projectID400a44c5bb27e	11986	22005816
projectID4017be84dd1e1	11987	21004166
projectID406716790b3f9	11991	08032385
projectID4004d86f87a4f	12001	04013986
projectID3fe971d24ac32	12014	13020716
projectID406ef38bc4d9a	12015	11005992
projectID40657a3630703	12016	07036661
projectID4065bc700779d	12019	unk82092757
projectID402e93314b012	12020	04032280
projectID3fdaa8554fe95	12022	17014340
projectID3fe75ac52f6c2	12025	13023174
projectID4065d5990bef1	12026	21006984
projectID3fee301ebb48a	12027	unk81057541
projectID402e99a90434e	12033	20013138
projectID405a20911a6b0	12034	21009745
projectID4014cfee84da0	12035	10006253
projectID407404da4162d	12036	17007359
projectID40758c070f330	12037	82203971
projectID402e6c65c9f60	12041	19004406
projectID407a1665f0cc9	12042	11032222
projectID4034593c1d131	12044	69013828
projectID403018ee50301	12045	04027686
projectID4027329d5e970	12049	16012646
projectID40272febbb5d7	12052	10007633
projectID40733d8223419	12057	05033630
